,player_name,date,event,category,event_round,result,opponent,score,average
4908,Mensur Suljovic,31/07/2016,PDC European Darts Open,PDC ET,Quarter Final,Lost,Peter Wright,0 V 6,94.68
4909,Mensur Suljovic,31/07/2016,PDC European Darts Open,PDC ET,Last 16,Won,Daryl Gurney,6 V 3,93.53
4910,Mensur Suljovic,30/07/2016,PDC European Darts Open,PDC ET,Last 32,Won,John Michael,6 V 1,103.41
4911,Mensur Suljovic,20/07/2016,World Matchplay,PDC Premier,Last 16,Lost,Phil Taylor,5 V 11,97.14
4912,Mensur Suljovic,17/07/2016,World Matchplay,PDC Premier,Last 32,Won,Stephen Bunting,10 V 8,98.44
4913,Mensur Suljovic,11/06/2016,PDC Austrian Darts Open,PDC ET,Last 32,Lost,Kyle Anderson,5 V 6,94.60
4914,Mensur Suljovic,05/06/2016,PDC World Cup of Darts,PDC U,Quarter Final Sub Match,Lost,Phil Taylor,0 V 4,92.15
4915,Mensur Suljovic,04/06/2016,PDC World Cup of Darts,PDC U,Last 16 Sub Match,Won,Paul Lim,4 V 2,101.38
4916,Mensur Suljovic,15/05/2016,PDC European Matchplay,PDC ET,Quarter Final,Lost,Dave Chisnall,4 V 6,98.09
4917,Mensur Suljovic,15/05/2016,PDC European Matchplay,PDC ET,Last 16,Won,Michael Smith,6 V 5,91.53
4918,Mensur Suljovic,14/05/2016,PDC European Matchplay,PDC ET,Last 32,Won,Mike de Decker,6 V 0,95.94
4919,Mensur Suljovic,08/05/2016,PDC Gibraltar Darts Trophy,PDC ET,Quarter Final,Lost,Dave Chisnall,5 V 6,97.97
4920,Mensur Suljovic,08/05/2016,PDC Gibraltar Darts Trophy,PDC ET,Last 16,Won,Michael Smith,6 V 3,101.59
4921,Mensur Suljovic,07/05/2016,PDC Gibraltar Darts Trophy,PDC ET,Last 32,Won,Jermaine Wattimena,6 V 2,91.14
4922,Mensur Suljovic,27/03/2016,PDC German Darts Masters,PDC ET,Last 32,Lost,James Wilson,4 V 6,96.00
4923,Mensur Suljovic,05/03/2016,UK Open,PDC Premier,Last 16,Lost,Mark Webster,5 V 9,93.83
4924,Mensur Suljovic,14/02/2016,PDC Dutch Darts Masters,PDC ET,Semi Final,Lost,Daryl Gurney,1 V 6,83.51
4925,Mensur Suljovic,14/02/2016,PDC Dutch Darts Masters,PDC ET,Quarter Final,Won,Simon Whitlock,6 V 3,102.10
4926,Mensur Suljovic,14/02/2016,PDC Dutch Darts Masters,PDC ET,Last 16,Won,Michael Smith,6 V 5,95.60
4927,Mensur Suljovic,13/02/2016,PDC Dutch Darts Masters,PDC ET,Last 32,Won,Rowby John Rodriguez,6 V 1,81.77
4928,Mensur Suljovic,29/12/2015,PDC World Championship,PDC WC,Last 16,Lost,Adrian Lewis,0 V 4,93.92
4929,Mensur Suljovic,28/12/2015,PDC World Championship,PDC WC,Last 32,Won,Dave Pallett,4 V 3,91.04
4930,Mensur Suljovic,20/12/2015,PDC World Championship,PDC WC,Last 64,Won,Jermaine Wattimena,3 V 1,99.44
4931,Mensur Suljovic,29/11/2015,Players Championship Finals,PDC Premier,Semi Final,Lost,Adrian Lewis,1 V 11,93.21
4932,Mensur Suljovic,29/11/2015,Players Championship Finals,PDC Premier,Quarter Final,Won,Ian White,10 V 6,97.55
4933,Mensur Suljovic,28/11/2015,Players Championship Finals,PDC Premier,Last 16,Won,Michael Smith,10 V 3,92.77
4934,Mensur Suljovic,27/11/2015,Players Championship Finals,PDC Premier,Last 32,Won,Mervyn King,6 V 1,95.97
4935,Mensur Suljovic,30/10/2015,European Championship,PDC Premier,Last 32,Lost,Dave Chisnall,5 V 6,99.31
4936,Mensur Suljovic,24/10/2015,PDPA Players Championship Coventry 4,PDC Pro Tour,Semi Final,Lost,Peter Wright,3 V 6,93.93
4937,Mensur Suljovic,18/10/2015,PDC European Darts Grand Prix,PDC ET,Semi Final,Lost,Peter Wright,5 V 6,96.44
4938,Mensur Suljovic,18/10/2015,PDC European Darts Grand Prix,PDC ET,Quarter Final,Won,Joe Cullen,6 V 4,91.66
4939,Mensur Suljovic,18/10/2015,PDC European Darts Grand Prix,PDC ET,Last 16,Won,Mervyn King,6 V 5,97.24
4940,Mensur Suljovic,17/10/2015,PDC European Darts Grand Prix,PDC ET,Last 32,Won,Michael van Gerwen,6 V 4,109.70
4941,Mensur Suljovic,16/10/2015,PDC European Darts Grand Prix,PDC ET,Last 48,Won,Mark Barilli,6 V 4,88.63
4942,Mensur Suljovic,09/10/2015,World Grand Prix,PDC Premier,Semi Final,Lost,Robert Thornton,2 V 4,d 86.49
4943,Mensur Suljovic,08/10/2015,World Grand Prix,PDC Premier,Quarter Final,Won,Vincent van der Voort,3 V 1,d 85.09
4944,Mensur Suljovic,07/10/2015,World Grand Prix,PDC Premier,Last 16,Won,Simon Whitlock,3 V 0,d 91.34
4945,Mensur Suljovic,05/10/2015,World Grand Prix,PDC Premier,Last 32,Won,James Wade,2 V 1,d 93.23
4946,Mensur Suljovic,02/10/2015,PDPA Players Championship Ireland 1,PDC Pro Tour,Semi Final,Lost,Ian White,5 V 6,100.22
4947,Mensur Suljovic,18/09/2015,PDC European Matchplay,PDC ET,Last 48,Lost,Darren Webster,2 V 6,90.44
4948,Mensur Suljovic,12/09/2015,PDC European Darts Trophy,PDC ET,Last 32,Lost,Justin Pipe,5 V 6,84.75
4949,Mensur Suljovic,11/09/2015,PDC European Darts Trophy,PDC ET,Last 48,Won,Christian Soethe,6 V 0,95.94
4950,Mensur Suljovic,24/07/2015,World Matchplay,PDC Premier,Quarter Final,Lost,James Wade,11 V 16,92.48
4951,Mensur Suljovic,22/07/2015,World Matchplay,PDC Premier,Last 16,Won,Gary Anderson,13 V 9,92.58
4952,Mensur Suljovic,19/07/2015,World Matchplay,PDC Premier,Last 32,Won,Terry Jenkins,11 V 9,89.57
4953,Mensur Suljovic,11/07/2015,PDC European Darts Open,PDC ET,Last 32,Lost,Michael Smith,4 V 6,104.82
4954,Mensur Suljovic,10/07/2015,PDC European Darts Open,PDC ET,Last 48,Won,Mike de Decker,6 V 5,94.67
4955,Mensur Suljovic,20/06/2015,PDC International Darts Open,PDC ET,Last 32,Lost,Benito van de Pas,5 V 6,88.84
4956,Mensur Suljovic,19/06/2015,PDC International Darts Open,PDC ET,Last 48,Won,Mark Walsh,6 V 2,93.10
4957,Mensur Suljovic,06/06/2015,PDC Dutch Darts Masters,PDC ET,Last 32,Lost,Michael van Gerwen,2 V 6,95.21
4958,Mensur Suljovic,05/06/2015,PDC Dutch Darts Masters,PDC ET,Last 48,Won,Johnny Clayton,6 V 4,98.14
4959,Mensur Suljovic,10/04/2015,PDPA Players Championship Barnsley 3,PDC Pro Tour,Quarter Final,Lost,Dave Chisnall,5 V 6,96.40
4960,Mensur Suljovic,06/04/2015,PDC German Darts Masters,PDC ET,Last 16,Lost,Robert Thornton,3 V 6,93.75
4961,Mensur Suljovic,05/04/2015,PDC German Darts Masters,PDC ET,Last 32,Won,Justin Pipe,6 V 4,102.02
4962,Mensur Suljovic,04/04/2015,PDC German Darts Masters,PDC ET,Last 48,Won,Jyhan Artut,6 V 5,91.08
4963,Mensur Suljovic,08/03/2015,UK Open,PDC Premier,Quarter Final,Lost,Andrew Gilding,8 V 10,94.87
4964,Mensur Suljovic,07/03/2015,UK Open,PDC Premier,Last 16,Won,Jan Dekker,9 V 7,90.13
4965,Mensur Suljovic,07/03/2015,UK Open,PDC Premier,Last 32,Won,Josh Payne,9 V 4,92.93
4966,Mensur Suljovic,15/02/2015,PDC German Darts Championship,PDC ET,Semi Final,Lost,Michael van Gerwen,1 V 6,87.76
4967,Mensur Suljovic,15/02/2015,PDC German Darts Championship,PDC ET,Quarter Final,Won,Robert Thornton,6 V 3,89.98
4968,Mensur Suljovic,15/02/2015,PDC German Darts Championship,PDC ET,Last 16,Won,Michael Smith,6 V 4,92.01
4969,Mensur Suljovic,14/02/2015,PDC German Darts Championship,PDC ET,Last 32,Won,Kim Huybrechts,6 V 4,96.85
4970,Mensur Suljovic,13/02/2015,PDC German Darts Championship,PDC ET,Last 48,Won,Cristo Reyes,6 V 2,89.15
4971,Mensur Suljovic,22/12/2014,PDC World Championship,PDC WC,Last 64,Lost,Michael Smith,1 V 3,98.91
4972,Mensur Suljovic,24/10/2014,European Championship,PDC Premier,Last 32,Lost,Jamie Caven,2 V 6,91.41
4973,Mensur Suljovic,05/09/2014,PDC European Darts Grand Prix,PDC ET,Last 48,Lost,Joe Cullen,3 V 6,93.53
4974,Mensur Suljovic,09/03/2014,UK Open,PDC Premier,Quarter Final,Lost,Adrian Lewis,3 V 10,98.09
4975,Mensur Suljovic,19/12/2013,PDC World Championship,PDC WC,Last 64,Lost,Mark Webster,2 V 3,84.02
4976,Mensur Suljovic,20/07/2013,World Matchplay,PDC Premier,Last 32,Lost,Raymond van Barneveld,4 V 10,89.56
4977,Mensur Suljovic,05/07/2013,European Championship,PDC Premier,Last 32,Lost,Adrian Lewis,4 V 6,90.83
4978,Mensur Suljovic,01/04/2013,PDC European Darts Trophy,PDC ET,Semi Final,Lost,Wes Newton,4 V 6,98.68
4979,Mensur Suljovic,01/04/2013,PDC European Darts Trophy,PDC ET,Quarter Final,Won,Kim Huybrechts,6 V 4,96.00
4980,Mensur Suljovic,01/04/2013,PDC European Darts Trophy,PDC ET,Last 16,Won,Andy Smith,6 V 0,99.10
4981,Mensur Suljovic,31/03/2013,PDC European Darts Trophy,PDC ET,Last 32,Won,Michael Smith,6 V 4,75.05
4982,Mensur Suljovic,10/03/2013,PDC UK Masters,PDC ET,Last 16,Lost,John Part,5 V 6,81.93
4983,Mensur Suljovic,09/03/2013,PDC UK Masters,PDC ET,Last 32,Won,Bernd Roith,6 V 5,94.80
4984,Mensur Suljovic,20/09/2012,European Championship,PDC Premier,Last 32,Lost,Jerry Hendriks,2 V 6,81.09
4985,Mensur Suljovic,23/06/2012,PDC German Darts Championship,PDC ET,Last 32,Lost,Kim Huybrechts,3 V 6,95.83
4986,Mensur Suljovic,03/02/2012,PDC World Cup of Darts,PDC U,Last 16 Sub Match,Won,Vincent van der Voort,4 V 3,90.28
4987,Mensur Suljovic,17/12/2011,PDC World Championship,PDC WC,Last 64,Lost,Paul Nicholson,1 V 3,90.36
4988,Mensur Suljovic,28/07/2011,European Championship,PDC Premier,Last 32,Lost,Simon Whitlock,2 V 6,86.68
4989,Mensur Suljovic,30/12/2010,PDC World Championship,PDC WC,Last 16,Lost,Wes Newton,0 V 4,84.76
4990,Mensur Suljovic,28/12/2010,PDC World Championship,PDC WC,Last 32,Won,James Wade,4 V 2,88.55
4991,Mensur Suljovic,21/12/2010,PDC World Championship,PDC WC,Last 64,Won,Michael van Gerwen,3 V 1,91.51
4992,Mensur Suljovic,12/12/2010,Sportsdale.com Xmas Open,OPEN,Final,Lost,Jamie Caven,2 V 6,85.95
4993,Mensur Suljovic,12/12/2010,Sportsdale.com Xmas Open,OPEN,Semi Final,Won,Andrew Gilding,5 V 1,87.15
4994,Mensur Suljovic,20/12/2009,PDC World Championship,PDC WC,Last 64,Lost,Kevin Painter,1 V 3,86.83
4995,Mensur Suljovic,31/10/2009,European Championship,PDC Premier,Last 16,Lost,Colin Lloyd,5 V 9,91.50
4996,Mensur Suljovic,29/10/2009,European Championship,PDC Premier,Last 32,Won,Roland Scholten,6 V 3,94.63
4997,Mensur Suljovic,27/12/2008,PDC World Championship,PDC WC,Last 32,Lost,Mark Dudbridge,0 V 4,92.80
4998,Mensur Suljovic,21/12/2008,PDC World Championship,PDC WC,Last 64,Won,Peter Manley,3 V 2,91.62
4999,Mensur Suljovic,01/11/2008,European Championship,PDC Premier,Last 16,Lost,Robert Thornton,7 V 9,89.46
5000,Mensur Suljovic,30/10/2008,European Championship,PDC Premier,Last 32,Won,Roland Scholten,5 V 1,81.10
5001,Mensur Suljovic,04/10/2008,GDC Ramada Hotel Koln 6,PDCR 2,Semi Final,Lost,Hannes Schnier,2 V 3,84.63
5002,Mensur Suljovic,03/10/2008,GDC Ramada Hotel Koln 5,PDCR 2,Final,Won,Marko Puls,3 V 2,89.97
5003,Mensur Suljovic,03/10/2008,GDC Ramada Hotel Koln 5,PDCR 2,Semi Final,Won,Hannes Schnier,3 V 0,91.09
5004,Mensur Suljovic,26/12/2007,PDC World Championship,PDC WC,Last 32,Lost,John Part,1 V 4,91.26
5005,Mensur Suljovic,21/12/2007,PDC World Championship,PDC WC,Last 64,Won,Andy Smith,3 V 2,83.26
5006,Mensur Suljovic,13/01/2002,BDO World Championship,WDF WC,Last 16,Lost,Mervyn King,1 V 3,85.83
5007,Mensur Suljovic,13/01/2002,BDO World Championship,WDF WC,Last 32,Won,Vincent van der Voort,3 V 2,87.15
5008,Mensur Suljovic,02/12/2001,World Masters,WDF Major,Quarter Final,Lost,Raymond van Barneveld,1 V 3,93.15
5009,Mensur Suljovic,02/12/2001,World Masters,WDF Major,Last 16,Won,Martin Adams,2 V 0,98.67
5010,Mensur Suljovic,04/12/1999,World Masters,WDF Major,Last 16,Lost,Andy Fordham,0 V 2,86.40
5011,Daryl Gurney,24/07/2018,World Matchplay,PDC Premier,Last 16,Lost,Joe Cullen,3 V 11,87.69
5012,Daryl Gurney,22/07/2018,World Matchplay,PDC Premier,Last 32,Won,Steve West,12 V 10,89.19
5013,Daryl Gurney,14/07/2018,Shanghai Masters,PDC U,Quarter Final,Lost,Michael van Gerwen,4 V 8,89.37
5014,Daryl Gurney,13/07/2018,Shanghai Masters,PDC U,Last 16,Won,Lourence Ilagan,6 V 1,94.23
5015,Daryl Gurney,07/07/2018,US Darts Masters,PDC U,Quarter Final,Lost,Peter Wright,6 V 8,85.10
5016,Daryl Gurney,06/07/2018,US Darts Masters,PDC U,Last 16,Won,John Norman Jnr,6 V 2,98.37
5017,Daryl Gurney,01/07/2018,PDC European Matchplay,PDC ET,Last 16,Lost,Stephen Bunting,5 V 6,95.88
5018,Daryl Gurney,30/06/2018,PDC European Matchplay,PDC ET,Last 32,Won,Robert Marijanovic,6 V 5,85.62
5019,Daryl Gurney,27/06/2018,PDPA Players Championship Barnsley 16,PDC Pro Tour,Last 16,Lost,Adrian Lewis,3 V 6,85.53
5020,Daryl Gurney,27/06/2018,PDPA Players Championship Barnsley 16,PDC Pro Tour,Last 32,Won,Richard North,6 V 4,87.47
5021,Daryl Gurney,27/06/2018,PDPA Players Championship Barnsley 16,PDC Pro Tour,Last 64,Won,Stephen Burton,6 V 4,86.08
5022,Daryl Gurney,27/06/2018,PDPA Players Championship Barnsley 16,PDC Pro Tour,Last 128,Won,Jamie Caven,6 V 2,90.19
5023,Daryl Gurney,26/06/2018,PDPA Players Championship Barnsley 15,PDC Pro Tour,Last 16,Lost,Steve Beaton,5 V 6,89.45
5024,Daryl Gurney,26/06/2018,PDPA Players Championship Barnsley 15,PDC Pro Tour,Last 32,Won,Richard North,6 V 0,94.93
5025,Daryl Gurney,26/06/2018,PDPA Players Championship Barnsley 15,PDC Pro Tour,Last 64,Won,Dimitri van den Bergh,6 V 4,95.37
5026,Daryl Gurney,26/06/2018,PDPA Players Championship Barnsley 15,PDC Pro Tour,Last 128,Won,Jamie Bain,6 V 1,105.06
5027,Daryl Gurney,23/06/2018,PDC Danish Open,PDC ET,Last 32,Lost,Ricky Evans,3 V 6,93.74
5028,Daryl Gurney,17/06/2018,PDPA Players Championship Wigan 14,PDC Pro Tour,Last 32,Lost,Dirk van Duijvenbode,3 V 6,96.54
5029,Daryl Gurney,17/06/2018,PDPA Players Championship Wigan 14,PDC Pro Tour,Last 64,Won,Michael Barnard,6 V 2,94.36
5030,Daryl Gurney,17/06/2018,PDPA Players Championship Wigan 14,PDC Pro Tour,Last 128,Won,John Davey,6 V 3,89.15
5031,Daryl Gurney,16/06/2018,PDPA Players Championship Wigan 13,PDC Pro Tour,Last 64,Lost,Peter Jacques,3 V 6,97.94
5032,Daryl Gurney,16/06/2018,PDPA Players Championship Wigan 13,PDC Pro Tour,Last 128,Won,Josh Payne,6 V 4,91.93
5033,Daryl Gurney,10/06/2018,PDC Gibraltar Darts Trophy,PDC ET,Last 16,Lost,Steve West,1 V 6,89.94
5034,Daryl Gurney,09/06/2018,PDC Gibraltar Darts Trophy,PDC ET,Last 32,Won,Brendan Dolan,6 V 4,94.66
5035,Daryl Gurney,02/06/2018,PDC World Cup of Darts,PDC U,Last 16 Sub Match,Won,Martin Schindler,4 V 0,92.49
5036,Daryl Gurney,20/05/2018,PDPA Players Championship Milton Keynes 12,PDC Pro Tour,Last 128,Lost,Christian Kist,4 V 6,86.98
5037,Daryl Gurney,19/05/2018,PDPA Players Championship Milton Keynes 11,PDC Pro Tour,Last 16,Lost,Adrian Lewis,3 V 6,89.76
5038,Daryl Gurney,19/05/2018,PDPA Players Championship Milton Keynes 11,PDC Pro Tour,Last 32,Won,Jeffrey de Zwaan,6 V 0,109.98
5039,Daryl Gurney,19/05/2018,PDPA Players Championship Milton Keynes 11,PDC Pro Tour,Last 64,Won,Wayne Jones,6 V 3,94.11
5040,Daryl Gurney,19/05/2018,PDPA Players Championship Milton Keynes 11,PDC Pro Tour,Last 128,Won,Devon Petersen,6 V 3,90.66
5041,Daryl Gurney,13/05/2018,PDC Dutch Darts Masters,PDC ET,Semi Final,Lost,Michael van Gerwen,6 V 7,84.60
5042,Daryl Gurney,13/05/2018,PDC Dutch Darts Masters,PDC ET,Quarter Final,Won,Stephen Bunting,6 V 2,93.58
5043,Daryl Gurney,13/05/2018,PDC Dutch Darts Masters,PDC ET,Last 16,Won,Mervyn King,6 V 2,98.53
5044,Daryl Gurney,12/05/2018,PDC Dutch Darts Masters,PDC ET,Last 32,Won,Cristo Reyes,6 V 4,102.06
5045,Daryl Gurney,10/05/2018,Premier League,PDC U,League 10,Drew,Peter Wright,6 V 6,88.05
5046,Daryl Gurney,05/05/2018,PDC European Darts Grand Prix,PDC ET,Last 32,Lost,Jamie Lewis,4 V 6,96.73
5047,Daryl Gurney,03/05/2018,Premier League,PDC U,League 10,Drew,Michael Smith,6 V 6,98.82
5048,Daryl Gurney,29/04/2018,PDPA Players Championship Wigan 10,PDC Pro Tour,Last 16,Lost,Stephen Bunting,4 V 6,88.05
5049,Daryl Gurney,29/04/2018,PDPA Players Championship Wigan 10,PDC Pro Tour,Last 32,Won,Prakash Jiwa,6 V 2,85.29
5050,Daryl Gurney,29/04/2018,PDPA Players Championship Wigan 10,PDC Pro Tour,Last 64,Won,Matt Edgar,6 V 3,87.10
5051,Daryl Gurney,29/04/2018,PDPA Players Championship Wigan 10,PDC Pro Tour,Last 128,Won,Scott Darbyshire,6 V 4,99.31
5052,Daryl Gurney,28/04/2018,PDPA Players Championship Wigan 9,PDC Pro Tour,Quarter Final,Lost,James Wade,3 V 6,83.91
5053,Daryl Gurney,28/04/2018,PDPA Players Championship Wigan 9,PDC Pro Tour,Last 16,Won,Michael Barnard,6 V 2,100.38
5054,Daryl Gurney,28/04/2018,PDPA Players Championship Wigan 9,PDC Pro Tour,Last 32,Won,Mark Webster,6 V 3,86.43
5055,Daryl Gurney,28/04/2018,PDPA Players Championship Wigan 9,PDC Pro Tour,Last 64,Won,Cristo Reyes,6 V 5,92.22
5056,Daryl Gurney,28/04/2018,PDPA Players Championship Wigan 9,PDC Pro Tour,Last 128,Won,Terry Temple,6 V 0,104.86
5057,Daryl Gurney,26/04/2018,Premier League,PDC U,League 10,Drew,Michael van Gerwen,6 V 6,100.16
5058,Daryl Gurney,22/04/2018,PDC Austrian Darts Open,PDC ET,Quarter Final,Lost,Mensur Suljovic,1 V 6,95.37
5059,Daryl Gurney,22/04/2018,PDC Austrian Darts Open,PDC ET,Last 16,Won,Darren Webster,6 V 3,95.10
5060,Daryl Gurney,21/04/2018,PDC Austrian Darts Open,PDC ET,Last 32,Won,Ron Meulenkamp,6 V 3,90.67
5061,Daryl Gurney,19/04/2018,Premier League,PDC U,League 10,Won,Simon Whitlock,7 V 1,99.20
5062,Daryl Gurney,19/04/2018,Premier League,PDC U,League 10,Lost,Gary Anderson,3 V 7,93.00
5063,Daryl Gurney,18/04/2018,Premier League,PDC U,League 10,Lost,Rob Cross,4 V 7,91.71
5064,Daryl Gurney,15/04/2018,PDC German Open,PDC ET,Last 16,Lost,Mervyn King,5 V 6,97.46
5065,Daryl Gurney,14/04/2018,PDC German Open,PDC ET,Last 32,Won,Rene Eidams,6 V 1,92.68
5066,Daryl Gurney,12/04/2018,Premier League,PDC U,League 10,Won,Raymond van Barneveld,7 V 3,102.76
5067,Daryl Gurney,08/04/2018,PDPA Players Championship Barnsley 8,PDC Pro Tour,Last 64,Lost,Antonio Alcinas,4 V 6,87.02
5068,Daryl Gurney,08/04/2018,PDPA Players Championship Barnsley 8,PDC Pro Tour,Last 128,Won,Mark Wilson,6 V 3,102.52
5069,Daryl Gurney,07/04/2018,PDPA Players Championship Barnsley 7,PDC Pro Tour,Last 16,Lost,Max Hopp,4 V 6,95.56
5070,Daryl Gurney,07/04/2018,PDPA Players Championship Barnsley 7,PDC Pro Tour,Last 32,Won,Jamie Caven,6 V 5,98.79
5071,Daryl Gurney,07/04/2018,PDPA Players Championship Barnsley 7,PDC Pro Tour,Last 64,Won,Dennis Nilsson,6 V 2,95.25
5072,Daryl Gurney,07/04/2018,PDPA Players Championship Barnsley 7,PDC Pro Tour,Last 128,Won,Mick McGowan,6 V 2,96.89
5073,Daryl Gurney,05/04/2018,Premier League,PDC U,League 10,Drew,Peter Wright,6 V 6,98.67
5074,Daryl Gurney,02/04/2018,PDC German Darts Grand Prix,PDC ET,Semi Final,Lost,Michael van Gerwen,3 V 7,91.20
5075,Daryl Gurney,02/04/2018,PDC German Darts Grand Prix,PDC ET,Quarter Final,Won,Rob Cross,6 V 3,91.09
5076,Daryl Gurney,02/04/2018,PDC German Darts Grand Prix,PDC ET,Last 16,Won,Ian White,6 V 4,102.33
5077,Daryl Gurney,01/04/2018,PDC German Darts Grand Prix,PDC ET,Last 32,Won,Ryan Meikle,6 V 3,96.62
5078,Daryl Gurney,29/03/2018,Premier League,PDC U,League 10,Won,Rob Cross,7 V 5,98.53
5079,Daryl Gurney,24/03/2018,PDC European Darts Open,PDC ET,Last 32,Lost,Ron Meulenkamp,4 V 6,85.07
5080,Daryl Gurney,22/03/2018,Premier League,PDC U,League 10,Won,Mensur Suljovic,7 V 3,98.63
5081,Daryl Gurney,18/03/2018,PDPA Players Championship Milton Keynes 6,PDC Pro Tour,Last 32,Lost,James Wilson,4 V 6,92.27
5082,Daryl Gurney,18/03/2018,PDPA Players Championship Milton Keynes 6,PDC Pro Tour,Last 64,Won,Ross Twell,6 V 3,101.91
5083,Daryl Gurney,18/03/2018,PDPA Players Championship Milton Keynes 6,PDC Pro Tour,Last 128,Won,Kirk Shepherd,6 V 3,103.06
5084,Daryl Gurney,17/03/2018,PDPA Players Championship Milton Keynes 5,PDC Pro Tour,Last 64,Lost,Simon Stevenson,3 V 6,93.14
5085,Daryl Gurney,17/03/2018,PDPA Players Championship Milton Keynes 5,PDC Pro Tour,Last 128,Won,Jamie Caven,6 V 1,97.43
5086,Daryl Gurney,15/03/2018,Premier League,PDC U,League 10,Drew,Simon Whitlock,6 V 6,99.11
5087,Daryl Gurney,11/03/2018,PDPA Players Championship Barnsley 4,PDC Pro Tour,Last 128,Lost,Simon Stevenson,5 V 6,91.85
5088,Daryl Gurney,10/03/2018,PDPA Players Championship Barnsley 3,PDC Pro Tour,Last 32,Lost,Jeffrey de Graaf,4 V 6,92.96
5089,Daryl Gurney,10/03/2018,PDPA Players Championship Barnsley 3,PDC Pro Tour,Last 64,Won,Joe Murnan,6 V 3,97.31
5090,Daryl Gurney,10/03/2018,PDPA Players Championship Barnsley 3,PDC Pro Tour,Last 128,Won,Lee Bryant,6 V 1,100.99
5091,Daryl Gurney,08/03/2018,Premier League,PDC U,League 10,Drew,Gary Anderson,6 V 6,94.62
5092,Daryl Gurney,03/03/2018,UK Open,PDC Premier,Last 32,Lost,Kim Huybrechts,5 V 10,89.33
5093,Daryl Gurney,02/03/2018,UK Open,PDC Premier,Last 64,Won,Jelle Klaasen,10 V 9,95.93
5094,Daryl Gurney,22/02/2018,Premier League,PDC U,League 10,Lost,Michael van Gerwen,2 V 7,96.90
5095,Daryl Gurney,18/02/2018,PDPA Players Championship Barnsley 2,PDC Pro Tour,Last 32,Lost,Simon Stevenson,0 V 6,89.10
5096,Daryl Gurney,18/02/2018,PDPA Players Championship Barnsley 2,PDC Pro Tour,Last 64,Won,Mick McGowan,6 V 2,87.62
5097,Daryl Gurney,18/02/2018,PDPA Players Championship Barnsley 2,PDC Pro Tour,Last 128,Won,Alan Tabern,6 V 5,101.81
5098,Daryl Gurney,17/02/2018,PDPA Players Championship Barnsley 1,PDC Pro Tour,Last 128,Lost,Rowby John Rodriguez,5 V 6,94.77
5099,Daryl Gurney,15/02/2018,Premier League,PDC U,League 10,Drew,Gerwyn Price,6 V 6,95.97
5100,Daryl Gurney,11/02/2018,UK Open Qualifier 6,PDC Pro Tour,Final,Lost,Krzysztof Ratajski,4 V 6,95.93
5101,Daryl Gurney,11/02/2018,UK Open Qualifier 6,PDC Pro Tour,Semi Final,Won,Peter Wright,6 V 3,96.94
5102,Daryl Gurney,11/02/2018,UK Open Qualifier 6,PDC Pro Tour,Quarter Final,Won,Danny Noppert,6 V 2,91.20
5103,Daryl Gurney,11/02/2018,UK Open Qualifier 6,PDC Pro Tour,Last 16,Won,Johnny Clayton,6 V 4,98.37
5104,Daryl Gurney,11/02/2018,UK Open Qualifier 6,PDC Pro Tour,Last 32,Won,Stuart Kellett,6 V 0,99.10
5105,Daryl Gurney,11/02/2018,UK Open Qualifier 6,PDC Pro Tour,Last 64,Won,Jimmy Hendriks,6 V 5,95.52
5106,Daryl Gurney,11/02/2018,UK Open Qualifier 6,PDC Pro Tour,Last 128,Won,Mark Wilson,6 V 3,94.16
5107,Daryl Gurney,10/02/2018,UK Open Qualifier 5,PDC Pro Tour,Last 32,Lost,Mervyn King,1 V 6,92.42
5108,Daryl Gurney,10/02/2018,UK Open Qualifier 5,PDC Pro Tour,Last 64,Won,Ryan Harrington,6 V 2,107.62
5109,Daryl Gurney,10/02/2018,UK Open Qualifier 5,PDC Pro Tour,Last 128,Won,Brett Claydon,6 V 0,109.98
5110,Daryl Gurney,09/02/2018,UK Open Qualifier 4,PDC Pro Tour,Last 64,Lost,Jeffrey de Zwaan,3 V 6,89.98
5111,Daryl Gurney,09/02/2018,UK Open Qualifier 4,PDC Pro Tour,Last 128,Won,Devon Petersen,6 V 4,102.64
5112,Daryl Gurney,08/02/2018,Premier League,PDC U,League 10,Lost,Michael Smith,4 V 7,101.96
5113,Daryl Gurney,04/02/2018,UK Open Qualifier 3,PDC Pro Tour,Last 128,Lost,Jeffrey de Zwaan,4 V 6,97.53
5114,Daryl Gurney,03/02/2018,UK Open Qualifier 2,PDC Pro Tour,Last 16,Lost,Ian White,5 V 6,101.42
5115,Daryl Gurney,03/02/2018,UK Open Qualifier 2,PDC Pro Tour,Last 32,Won,Michael Smith,6 V 0,106.09
5116,Daryl Gurney,03/02/2018,UK Open Qualifier 2,PDC Pro Tour,Last 64,Won,Cody Harris,6 V 0,102.48
5117,Daryl Gurney,03/02/2018,UK Open Qualifier 2,PDC Pro Tour,Last 128,Won,Paul Rowley,6 V 3,87.36
5118,Daryl Gurney,02/02/2018,UK Open Qualifier 1,PDC Pro Tour,Quarter Final,Lost,Michael van Gerwen,1 V 6,84.71
5119,Daryl Gurney,02/02/2018,UK Open Qualifier 1,PDC Pro Tour,Last 16,Won,Robert Owen,6 V 5,95.42
5120,Daryl Gurney,02/02/2018,UK Open Qualifier 1,PDC Pro Tour,Last 32,Won,Joe Cullen,6 V 2,108.74
